clade	mdl	fgspecies	bgspecies	om0	lnlm0	npm0	ombnfg	ombnbg	lnlbn	npbn	ombffg	ombfbg	lnlbf	npbf
Actinopterygii.group1	F1x4	Acanthopagrus_latus	Sparus_aurata,Scatophagus_argus,Larimichthys_crocea,Dicentrarchus_labrax,Morone_saxatilis,Cheilinus_undulatus,Labrus_bergylta,Micropterus_dolomieu,Micropterus_salmoides,Siniperca_chuatsi,Etheostoma_cragini,Etheostoma_spectabile,Sander_lucioperca,Perca_fluviatilis,Perca_flavescens,Sebastes_umbrosus,Cyclopterus_lumpus,Gasterosteus_aculeatus_aculeatus,Pungitius_pungitius,Anarrhichthys_ocellatus,Trematomus_bernacchii,Pseudochaenichthys_georgianus,Gymnodraco_acuticeps,Notothenia_coriiceps,Cottoperca_gobio,Epinephelus_fuscoguttatus,Epinephelus_lanceolatus,Plectropomus_leopardus	0.49956	-13345.714337	57	1.00000	0.50062	-13348.932930	57	0.43419	0.50108	-13345.612058	58
Actinopterygii.group1	F3x4	Acanthopagrus_latus	Sparus_aurata,Scatophagus_argus,Larimichthys_crocea,Dicentrarchus_labrax,Morone_saxatilis,Cheilinus_undulatus,Labrus_bergylta,Micropterus_dolomieu,Micropterus_salmoides,Siniperca_chuatsi,Etheostoma_cragini,Etheostoma_spectabile,Sander_lucioperca,Perca_fluviatilis,Perca_flavescens,Sebastes_umbrosus,Cyclopterus_lumpus,Gasterosteus_aculeatus_aculeatus,Pungitius_pungitius,Anarrhichthys_ocellatus,Trematomus_bernacchii,Pseudochaenichthys_georgianus,Gymnodraco_acuticeps,Notothenia_coriiceps,Cottoperca_gobio,Epinephelus_fuscoguttatus,Epinephelus_lanceolatus,Plectropomus_leopardus	0.50792	-13353.743393	57	1.00000	0.50883	-13356.739267	57	0.44714	0.50933	-13353.659394	58
Actinopterygii.group1	F1x4	Anarrhichthys_ocellatus	Sparus_aurata,Acanthopagrus_latus,Scatophagus_argus,Larimichthys_crocea,Dicentrarchus_labrax,Morone_saxatilis,Cheilinus_undulatus,Labrus_bergylta,Micropterus_dolomieu,Micropterus_salmoides,Siniperca_chuatsi,Etheostoma_cragini,Etheostoma_spectabile,Sander_lucioperca,Perca_fluviatilis,Perca_flavescens,Sebastes_umbrosus,Cyclopterus_lumpus,Gasterosteus_aculeatus_aculeatus,Pungitius_pungitius,Trematomus_bernacchii,Pseudochaenichthys_georgianus,Gymnodraco_acuticeps,Notothenia_coriiceps,Cottoperca_gobio,Epinephelus_fuscoguttatus,Epinephelus_lanceolatus,Plectropomus_leopardus	0.49956	-13345.714337	57	1.00000	0.49824	-13347.152664	57	0.55370	0.49853	-13345.664994	58
Actinopterygii.group1	F3x4	Anarrhichthys_ocellatus	Sparus_aurata,Acanthopagrus_latus,Scatophagus_argus,Larimichthys_crocea,Dicentrarchus_labrax,Morone_saxatilis,Cheilinus_undulatus,Labrus_bergylta,Micropterus_dolomieu,Micropterus_salmoides,Siniperca_chuatsi,Etheostoma_cragini,Etheostoma_spectabile,Sander_lucioperca,Perca_fluviatilis,Perca_flavescens,Sebastes_umbrosus,Cyclopterus_lumpus,Gasterosteus_aculeatus_aculeatus,Pungitius_pungitius,Trematomus_bernacchii,Pseudochaenichthys_georgianus,Gymnodraco_acuticeps,Notothenia_coriiceps,Cottoperca_gobio,Epinephelus_fuscoguttatus,Epinephelus_lanceolatus,Plectropomus_leopardus	0.50792	-13353.743393	57	1.00000	0.50671	-13355.198198	57	0.55491	0.50702	-13353.706643	58
Actinopterygii.group1	F1x4	Cheilinus_undulatus	Sparus_aurata,Acanthopagrus_latus,Scatophagus_argus,Larimichthys_crocea,Dicentrarchus_labrax,Morone_saxatilis,Labrus_bergylta,Micropterus_dolomieu,Micropterus_salmoides,Siniperca_chuatsi,Etheostoma_cragini,Etheostoma_spectabile,Sander_lucioperca,Perca_fluviatilis,Perca_flavescens,Sebastes_umbrosus,Cyclopterus_lumpus,Gasterosteus_aculeatus_aculeatus,Pungitius_pungitius,Anarrhichthys_ocellatus,Trematomus_bernacchii,Pseudochaenichthys_georgianus,Gymnodraco_acuticeps,Notothenia_coriiceps,Cottoperca_gobio,Epinephelus_fuscoguttatus,Epinephelus_lanceolatus,Plectropomus_leopardus	0.49956	-13345.714337	57	1.00000	0.49723	-13351.152558	57	0.50677	0.49913	-13345.711534	58
Actinopterygii.group1	F3x4	Cheilinus_undulatus	Sparus_aurata,Acanthopagrus_latus,Scatophagus_argus,Larimichthys_crocea,Dicentrarchus_labrax,Morone_saxatilis,Labrus_bergylta,Micropterus_dolomieu,Micropterus_salmoides,Siniperca_chuatsi,Etheostoma_cragini,Etheostoma_spectabile,Sander_lucioperca,Perca_fluviatilis,Perca_flavescens,Sebastes_umbrosus,Cyclopterus_lumpus,Gasterosteus_aculeatus_aculeatus,Pungitius_pungitius,Anarrhichthys_ocellatus,Trematomus_bernacchii,Pseudochaenichthys_georgianus,Gymnodraco_acuticeps,Notothenia_coriiceps,Cottoperca_gobio,Epinephelus_fuscoguttatus,Epinephelus_lanceolatus,Plectropomus_leopardus	0.50792	-13353.743393	57	1.00000	0.50572	-13358.998263	57	0.51247	0.50766	-13353.742317	58
Actinopterygii.group1	F1x4	Cottoperca_gobio	Sparus_aurata,Acanthopagrus_latus,Scatophagus_argus,Larimichthys_crocea,Dicentrarchus_labrax,Morone_saxatilis,Cheilinus_undulatus,Labrus_bergylta,Micropterus_dolomieu,Micropterus_salmoides,Siniperca_chuatsi,Etheostoma_cragini,Etheostoma_spectabile,Sander_lucioperca,Perca_fluviatilis,Perca_flavescens,Sebastes_umbrosus,Cyclopterus_lumpus,Gasterosteus_aculeatus_aculeatus,Pungitius_pungitius,Anarrhichthys_ocellatus,Trematomus_bernacchii,Pseudochaenichthys_georgianus,Gymnodraco_acuticeps,Notothenia_coriiceps,Epinephelus_fuscoguttatus,Epinephelus_lanceolatus,Plectropomus_leopardus	0.49956	-13345.714337	57	1.00000	0.49523	-13346.975802	57	0.62815	0.49531	-13345.236944	58
Actinopterygii.group1	F3x4	Cottoperca_gobio	Sparus_aurata,Acanthopagrus_latus,Scatophagus_argus,Larimichthys_crocea,Dicentrarchus_labrax,Morone_saxatilis,Cheilinus_undulatus,Labrus_bergylta,Micropterus_dolomieu,Micropterus_salmoides,Siniperca_chuatsi,Etheostoma_cragini,Etheostoma_spectabile,Sander_lucioperca,Perca_fluviatilis,Perca_flavescens,Sebastes_umbrosus,Cyclopterus_lumpus,Gasterosteus_aculeatus_aculeatus,Pungitius_pungitius,Anarrhichthys_ocellatus,Trematomus_bernacchii,Pseudochaenichthys_georgianus,Gymnodraco_acuticeps,Notothenia_coriiceps,Epinephelus_fuscoguttatus,Epinephelus_lanceolatus,Plectropomus_leopardus	0.50792	-13353.743393	57	1.00000	0.50354	-13354.890521	57	0.63839	0.50362	-13353.268886	58
Actinopterygii.group1	F1x4	Cyclopterus_lumpus	Sparus_aurata,Acanthopagrus_latus,Scatophagus_argus,Larimichthys_crocea,Dicentrarchus_labrax,Morone_saxatilis,Cheilinus_undulatus,Labrus_bergylta,Micropterus_dolomieu,Micropterus_salmoides,Siniperca_chuatsi,Etheostoma_cragini,Etheostoma_spectabile,Sander_lucioperca,Perca_fluviatilis,Perca_flavescens,Sebastes_umbrosus,Gasterosteus_aculeatus_aculeatus,Pungitius_pungitius,Anarrhichthys_ocellatus,Trematomus_bernacchii,Pseudochaenichthys_georgianus,Gymnodraco_acuticeps,Notothenia_coriiceps,Cottoperca_gobio,Epinephelus_fuscoguttatus,Epinephelus_lanceolatus,Plectropomus_leopardus	0.49956	-13345.714337	57	1.00000	0.49578	-13346.820473	57	0.62782	0.49589	-13345.306554	58
Actinopterygii.group1	F3x4	Cyclopterus_lumpus	Sparus_aurata,Acanthopagrus_latus,Scatophagus_argus,Larimichthys_crocea,Dicentrarchus_labrax,Morone_saxatilis,Cheilinus_undulatus,Labrus_bergylta,Micropterus_dolomieu,Micropterus_salmoides,Siniperca_chuatsi,Etheostoma_cragini,Etheostoma_spectabile,Sander_lucioperca,Perca_fluviatilis,Perca_flavescens,Sebastes_umbrosus,Gasterosteus_aculeatus_aculeatus,Pungitius_pungitius,Anarrhichthys_ocellatus,Trematomus_bernacchii,Pseudochaenichthys_georgianus,Gymnodraco_acuticeps,Notothenia_coriiceps,Cottoperca_gobio,Epinephelus_fuscoguttatus,Epinephelus_lanceolatus,Plectropomus_leopardus	0.50792	-13353.743393	57	1.00000	0.50405	-13354.743563	57	0.63861	0.50418	-13353.333776	58
