""	"clade"	"test"	"back"	"pval"	"kval"	"adjusted_p_value"
"30"	"Actinopterygii_group2"	"Anabas_testudineus"	"`Betta_splendens,Node1,Mastacembelus_armatus,Lates_calcarifer,Paralichthys_olivaceus,Hippoglossus_hippoglossus,Hippoglossus_stenolepis,Node12,Node10,Scophthalmus_maximus,Node9,Cynoglossus_semilaevis,Solea_senegalensis,Node16,Node8,Node6,Toxotes_jaculatrix,Xiphias_gladius,Node20,Seriola_dumerili,Seriola_lalandi_dorsalis,Node24,Echeneis_naucrates,Node23,Node19,Node5`"	0.0486	1.74	0.243
"31"	"Actinopterygii_group2"	"Betta_splendens"	"`Anabas_testudineus,Node1,Mastacembelus_armatus,Lates_calcarifer,Paralichthys_olivaceus,Hippoglossus_hippoglossus,Hippoglossus_stenolepis,Node12,Node10,Scophthalmus_maximus,Node9,Cynoglossus_semilaevis,Solea_senegalensis,Node16,Node8,Node6,Toxotes_jaculatrix,Xiphias_gladius,Node20,Seriola_dumerili,Seriola_lalandi_dorsalis,Node24,Echeneis_naucrates,Node23,Node19,Node5`"	0.9029	0.97	0.937
"32"	"Actinopterygii_group2"	"Cynoglossus_semilaevis"	"`Betta_splendens,Anabas_testudineus,Node1,Mastacembelus_armatus,Lates_calcarifer,Paralichthys_olivaceus,Hippoglossus_hippoglossus,Hippoglossus_stenolepis,Node12,Node10,Scophthalmus_maximus,Node9,Solea_senegalensis,Node16,Node8,Node6,Toxotes_jaculatrix,Xiphias_gladius,Node20,Seriola_dumerili,Seriola_lalandi_dorsalis,Node24,Echeneis_naucrates,Node23,Node19,Node5`"	0.6737	1.06	0.842125
"33"	"Actinopterygii_group2"	"Echeneis_naucrates"	"`Betta_splendens,Anabas_testudineus,Node1,Mastacembelus_armatus,Lates_calcarifer,Paralichthys_olivaceus,Hippoglossus_hippoglossus,Hippoglossus_stenolepis,Node12,Node10,Scophthalmus_maximus,Node9,Cynoglossus_semilaevis,Solea_senegalensis,Node16,Node8,Node6,Toxotes_jaculatrix,Xiphias_gladius,Node20,Seriola_dumerili,Seriola_lalandi_dorsalis,Node24,Node23,Node19,Node5`"	0.3327	0.83	0.5545
"34"	"Actinopterygii_group2"	"Hippoglossus_hippoglossus"	"`Betta_splendens,Anabas_testudineus,Node1,Mastacembelus_armatus,Lates_calcarifer,Paralichthys_olivaceus,Hippoglossus_stenolepis,Node12,Node10,Scophthalmus_maximus,Node9,Cynoglossus_semilaevis,Solea_senegalensis,Node16,Node8,Node6,Toxotes_jaculatrix,Xiphias_gladius,Node20,Seriola_dumerili,Seriola_lalandi_dorsalis,Node24,Echeneis_naucrates,Node23,Node19,Node5`"	0.2264	2.96	0.5545
"35"	"Actinopterygii_group2"	"Hippoglossus_stenolepis"	"`Betta_splendens,Anabas_testudineus,Node1,Mastacembelus_armatus,Lates_calcarifer,Paralichthys_olivaceus,Hippoglossus_hippoglossus,Node12,Node10,Scophthalmus_maximus,Node9,Cynoglossus_semilaevis,Solea_senegalensis,Node16,Node8,Node6,Toxotes_jaculatrix,Xiphias_gladius,Node20,Seriola_dumerili,Seriola_lalandi_dorsalis,Node24,Echeneis_naucrates,Node23,Node19,Node5`"	0.467	2.48	0.7005
"36"	"Actinopterygii_group2"	"Lates_calcarifer"	"`Betta_splendens,Anabas_testudineus,Node1,Mastacembelus_armatus,Paralichthys_olivaceus,Hippoglossus_hippoglossus,Hippoglossus_stenolepis,Node12,Node10,Scophthalmus_maximus,Node9,Cynoglossus_semilaevis,Solea_senegalensis,Node16,Node8,Node6,Toxotes_jaculatrix,Xiphias_gladius,Node20,Seriola_dumerili,Seriola_lalandi_dorsalis,Node24,Echeneis_naucrates,Node23,Node19,Node5`"	0.0109	43.8	0.1635
"37"	"Actinopterygii_group2"	"Mastacembelus_armatus"	"`Betta_splendens,Anabas_testudineus,Node1,Lates_calcarifer,Paralichthys_olivaceus,Hippoglossus_hippoglossus,Hippoglossus_stenolepis,Node12,Node10,Scophthalmus_maximus,Node9,Cynoglossus_semilaevis,Solea_senegalensis,Node16,Node8,Node6,Toxotes_jaculatrix,Xiphias_gladius,Node20,Seriola_dumerili,Seriola_lalandi_dorsalis,Node24,Echeneis_naucrates,Node23,Node19,Node5`"	0.2996	0.81	0.5545
"38"	"Actinopterygii_group2"	"Paralichthys_olivaceus"	"`Betta_splendens,Anabas_testudineus,Node1,Mastacembelus_armatus,Lates_calcarifer,Hippoglossus_hippoglossus,Hippoglossus_stenolepis,Node12,Node10,Scophthalmus_maximus,Node9,Cynoglossus_semilaevis,Solea_senegalensis,Node16,Node8,Node6,Toxotes_jaculatrix,Xiphias_gladius,Node20,Seriola_dumerili,Seriola_lalandi_dorsalis,Node24,Echeneis_naucrates,Node23,Node19,Node5`"	0.301	0.7	0.5545
"39"	"Actinopterygii_group2"	"Scophthalmus_maximus"	"`Betta_splendens,Anabas_testudineus,Node1,Mastacembelus_armatus,Lates_calcarifer,Paralichthys_olivaceus,Hippoglossus_hippoglossus,Hippoglossus_stenolepis,Node12,Node10,Node9,Cynoglossus_semilaevis,Solea_senegalensis,Node16,Node8,Node6,Toxotes_jaculatrix,Xiphias_gladius,Node20,Seriola_dumerili,Seriola_lalandi_dorsalis,Node24,Echeneis_naucrates,Node23,Node19,Node5`"	0.0223	0.57	0.16725
"40"	"Actinopterygii_group2"	"Seriola_dumerili"	"`Betta_splendens,Anabas_testudineus,Node1,Mastacembelus_armatus,Lates_calcarifer,Paralichthys_olivaceus,Hippoglossus_hippoglossus,Hippoglossus_stenolepis,Node12,Node10,Scophthalmus_maximus,Node9,Cynoglossus_semilaevis,Solea_senegalensis,Node16,Node8,Node6,Toxotes_jaculatrix,Xiphias_gladius,Node20,Seriola_lalandi_dorsalis,Node24,Echeneis_naucrates,Node23,Node19,Node5`"	0.6208	0.34	0.842125
"41"	"Actinopterygii_group2"	"Seriola_lalandi_dorsalis"	"`Betta_splendens,Anabas_testudineus,Node1,Mastacembelus_armatus,Lates_calcarifer,Paralichthys_olivaceus,Hippoglossus_hippoglossus,Hippoglossus_stenolepis,Node12,Node10,Scophthalmus_maximus,Node9,Cynoglossus_semilaevis,Solea_senegalensis,Node16,Node8,Node6,Toxotes_jaculatrix,Xiphias_gladius,Node20,Seriola_dumerili,Node24,Echeneis_naucrates,Node23,Node19,Node5`"	0.9258	0.92	0.937
"42"	"Actinopterygii_group2"	"Solea_senegalensis"	"`Betta_splendens,Anabas_testudineus,Node1,Mastacembelus_armatus,Lates_calcarifer,Paralichthys_olivaceus,Hippoglossus_hippoglossus,Hippoglossus_stenolepis,Node12,Node10,Scophthalmus_maximus,Node9,Cynoglossus_semilaevis,Node16,Node8,Node6,Toxotes_jaculatrix,Xiphias_gladius,Node20,Seriola_dumerili,Seriola_lalandi_dorsalis,Node24,Echeneis_naucrates,Node23,Node19,Node5`"	0.0722	1.29	0.27075
