test	back	pval	kval
Carassius_auratus	`Electrophorus_electricus,Ictalurus_furcatus,Ictalurus_punctatus,Node9,Pangasianodon_hypophthalmus,Node8,Clarias_gariepinus,Node7,Silurus_meridionalis,Node6,Tachysurus_fulvidraco,Node5,Pygocentrus_nattereri,Colossoma_macropomum,Node16,Node4,Node2,Misgurnus_anguillicaudatus,Myxocyprinus_asiaticus,Xyrauchen_texanus,Node22,Node20,Carassius_gibelio,Node28,Cyprinus_carpio,Node27,Danio_rerio,Pimephales_promelas,Megalobrama_amblycephala,Ctenopharyngodon_idella,Node36,Node34,Node32,Node26,Labeo_rohita,Node25,Node19,Node1,Chanos_chanos,Denticeps_clupeoides`	1.0000	0.72
Carassius_gibelio	`Electrophorus_electricus,Ictalurus_furcatus,Ictalurus_punctatus,Node9,Pangasianodon_hypophthalmus,Node8,Clarias_gariepinus,Node7,Silurus_meridionalis,Node6,Tachysurus_fulvidraco,Node5,Pygocentrus_nattereri,Colossoma_macropomum,Node16,Node4,Node2,Misgurnus_anguillicaudatus,Myxocyprinus_asiaticus,Xyrauchen_texanus,Node22,Node20,Carassius_auratus,Node28,Cyprinus_carpio,Node27,Danio_rerio,Pimephales_promelas,Megalobrama_amblycephala,Ctenopharyngodon_idella,Node36,Node34,Node32,Node26,Labeo_rohita,Node25,Node19,Node1,Chanos_chanos,Denticeps_clupeoides`	0.6305	1.13
Chanos_chanos	`Electrophorus_electricus,Ictalurus_furcatus,Ictalurus_punctatus,Node9,Pangasianodon_hypophthalmus,Node8,Clarias_gariepinus,Node7,Silurus_meridionalis,Node6,Tachysurus_fulvidraco,Node5,Pygocentrus_nattereri,Colossoma_macropomum,Node16,Node4,Node2,Misgurnus_anguillicaudatus,Myxocyprinus_asiaticus,Xyrauchen_texanus,Node22,Node20,Carassius_auratus,Carassius_gibelio,Node28,Cyprinus_carpio,Node27,Danio_rerio,Pimephales_promelas,Megalobrama_amblycephala,Ctenopharyngodon_idella,Node36,Node34,Node32,Node26,Labeo_rohita,Node25,Node19,Node1,Denticeps_clupeoides`	0.0352	1.38
Clarias_gariepinus	`Electrophorus_electricus,Ictalurus_furcatus,Ictalurus_punctatus,Node9,Pangasianodon_hypophthalmus,Node8,Node7,Silurus_meridionalis,Node6,Tachysurus_fulvidraco,Node5,Pygocentrus_nattereri,Colossoma_macropomum,Node16,Node4,Node2,Misgurnus_anguillicaudatus,Myxocyprinus_asiaticus,Xyrauchen_texanus,Node22,Node20,Carassius_auratus,Carassius_gibelio,Node28,Cyprinus_carpio,Node27,Danio_rerio,Pimephales_promelas,Megalobrama_amblycephala,Ctenopharyngodon_idella,Node36,Node34,Node32,Node26,Labeo_rohita,Node25,Node19,Node1,Chanos_chanos,Denticeps_clupeoides`	0.1691	0.77
Colossoma_macropomum	`Electrophorus_electricus,Ictalurus_furcatus,Ictalurus_punctatus,Node9,Pangasianodon_hypophthalmus,Node8,Clarias_gariepinus,Node7,Silurus_meridionalis,Node6,Tachysurus_fulvidraco,Node5,Pygocentrus_nattereri,Node16,Node4,Node2,Misgurnus_anguillicaudatus,Myxocyprinus_asiaticus,Xyrauchen_texanus,Node22,Node20,Carassius_auratus,Carassius_gibelio,Node28,Cyprinus_carpio,Node27,Danio_rerio,Pimephales_promelas,Megalobrama_amblycephala,Ctenopharyngodon_idella,Node36,Node34,Node32,Node26,Labeo_rohita,Node25,Node19,Node1,Chanos_chanos,Denticeps_clupeoides`	1.0000	0.79
Ctenopharyngodon_idella	`Electrophorus_electricus,Ictalurus_furcatus,Ictalurus_punctatus,Node9,Pangasianodon_hypophthalmus,Node8,Clarias_gariepinus,Node7,Silurus_meridionalis,Node6,Tachysurus_fulvidraco,Node5,Pygocentrus_nattereri,Colossoma_macropomum,Node16,Node4,Node2,Misgurnus_anguillicaudatus,Myxocyprinus_asiaticus,Xyrauchen_texanus,Node22,Node20,Carassius_auratus,Carassius_gibelio,Node28,Cyprinus_carpio,Node27,Danio_rerio,Pimephales_promelas,Megalobrama_amblycephala,Node36,Node34,Node32,Node26,Labeo_rohita,Node25,Node19,Node1,Chanos_chanos,Denticeps_clupeoides`	1.0000	0.96
Cyprinus_carpio	`Electrophorus_electricus,Ictalurus_furcatus,Ictalurus_punctatus,Node9,Pangasianodon_hypophthalmus,Node8,Clarias_gariepinus,Node7,Silurus_meridionalis,Node6,Tachysurus_fulvidraco,Node5,Pygocentrus_nattereri,Colossoma_macropomum,Node16,Node4,Node2,Misgurnus_anguillicaudatus,Myxocyprinus_asiaticus,Xyrauchen_texanus,Node22,Node20,Carassius_auratus,Carassius_gibelio,Node28,Node27,Danio_rerio,Pimephales_promelas,Megalobrama_amblycephala,Ctenopharyngodon_idella,Node36,Node34,Node32,Node26,Labeo_rohita,Node25,Node19,Node1,Chanos_chanos,Denticeps_clupeoides`	0.0489	0.66
Danio_rerio	`Electrophorus_electricus,Ictalurus_furcatus,Ictalurus_punctatus,Node9,Pangasianodon_hypophthalmus,Node8,Clarias_gariepinus,Node7,Silurus_meridionalis,Node6,Tachysurus_fulvidraco,Node5,Pygocentrus_nattereri,Colossoma_macropomum,Node16,Node4,Node2,Misgurnus_anguillicaudatus,Myxocyprinus_asiaticus,Xyrauchen_texanus,Node22,Node20,Carassius_auratus,Carassius_gibelio,Node28,Cyprinus_carpio,Node27,Pimephales_promelas,Megalobrama_amblycephala,Ctenopharyngodon_idella,Node36,Node34,Node32,Node26,Labeo_rohita,Node25,Node19,Node1,Chanos_chanos,Denticeps_clupeoides`	0.0002	0.72
Denticeps_clupeoides	`Electrophorus_electricus,Ictalurus_furcatus,Ictalurus_punctatus,Node9,Pangasianodon_hypophthalmus,Node8,Clarias_gariepinus,Node7,Silurus_meridionalis,Node6,Tachysurus_fulvidraco,Node5,Pygocentrus_nattereri,Colossoma_macropomum,Node16,Node4,Node2,Misgurnus_anguillicaudatus,Myxocyprinus_asiaticus,Xyrauchen_texanus,Node22,Node20,Carassius_auratus,Carassius_gibelio,Node28,Cyprinus_carpio,Node27,Danio_rerio,Pimephales_promelas,Megalobrama_amblycephala,Ctenopharyngodon_idella,Node36,Node34,Node32,Node26,Labeo_rohita,Node25,Node19,Node1,Chanos_chanos`	0.4044	1.07
Electrophorus_electricus	`Ictalurus_furcatus,Ictalurus_punctatus,Node9,Pangasianodon_hypophthalmus,Node8,Clarias_gariepinus,Node7,Silurus_meridionalis,Node6,Tachysurus_fulvidraco,Node5,Pygocentrus_nattereri,Colossoma_macropomum,Node16,Node4,Node2,Misgurnus_anguillicaudatus,Myxocyprinus_asiaticus,Xyrauchen_texanus,Node22,Node20,Carassius_auratus,Carassius_gibelio,Node28,Cyprinus_carpio,Node27,Danio_rerio,Pimephales_promelas,Megalobrama_amblycephala,Ctenopharyngodon_idella,Node36,Node34,Node32,Node26,Labeo_rohita,Node25,Node19,Node1,Chanos_chanos,Denticeps_clupeoides`	1.0000	1.00
Ictalurus_furcatus	`Electrophorus_electricus,Ictalurus_punctatus,Node9,Pangasianodon_hypophthalmus,Node8,Clarias_gariepinus,Node7,Silurus_meridionalis,Node6,Tachysurus_fulvidraco,Node5,Pygocentrus_nattereri,Colossoma_macropomum,Node16,Node4,Node2,Misgurnus_anguillicaudatus,Myxocyprinus_asiaticus,Xyrauchen_texanus,Node22,Node20,Carassius_auratus,Carassius_gibelio,Node28,Cyprinus_carpio,Node27,Danio_rerio,Pimephales_promelas,Megalobrama_amblycephala,Ctenopharyngodon_idella,Node36,Node34,Node32,Node26,Labeo_rohita,Node25,Node19,Node1,Chanos_chanos,Denticeps_clupeoides`	1.0000	1.27
Ictalurus_punctatus	`Electrophorus_electricus,Ictalurus_furcatus,Node9,Pangasianodon_hypophthalmus,Node8,Clarias_gariepinus,Node7,Silurus_meridionalis,Node6,Tachysurus_fulvidraco,Node5,Pygocentrus_nattereri,Colossoma_macropomum,Node16,Node4,Node2,Misgurnus_anguillicaudatus,Myxocyprinus_asiaticus,Xyrauchen_texanus,Node22,Node20,Carassius_auratus,Carassius_gibelio,Node28,Cyprinus_carpio,Node27,Danio_rerio,Pimephales_promelas,Megalobrama_amblycephala,Ctenopharyngodon_idella,Node36,Node34,Node32,Node26,Labeo_rohita,Node25,Node19,Node1,Chanos_chanos,Denticeps_clupeoides`	0.0168	0.37
Labeo_rohita	`Electrophorus_electricus,Ictalurus_furcatus,Ictalurus_punctatus,Node9,Pangasianodon_hypophthalmus,Node8,Clarias_gariepinus,Node7,Silurus_meridionalis,Node6,Tachysurus_fulvidraco,Node5,Pygocentrus_nattereri,Colossoma_macropomum,Node16,Node4,Node2,Misgurnus_anguillicaudatus,Myxocyprinus_asiaticus,Xyrauchen_texanus,Node22,Node20,Carassius_auratus,Carassius_gibelio,Node28,Cyprinus_carpio,Node27,Danio_rerio,Pimephales_promelas,Megalobrama_amblycephala,Ctenopharyngodon_idella,Node36,Node34,Node32,Node26,Node25,Node19,Node1,Chanos_chanos,Denticeps_clupeoides`	0.3503	0.81
Megalobrama_amblycephala	`Electrophorus_electricus,Ictalurus_furcatus,Ictalurus_punctatus,Node9,Pangasianodon_hypophthalmus,Node8,Clarias_gariepinus,Node7,Silurus_meridionalis,Node6,Tachysurus_fulvidraco,Node5,Pygocentrus_nattereri,Colossoma_macropomum,Node16,Node4,Node2,Misgurnus_anguillicaudatus,Myxocyprinus_asiaticus,Xyrauchen_texanus,Node22,Node20,Carassius_auratus,Carassius_gibelio,Node28,Cyprinus_carpio,Node27,Danio_rerio,Pimephales_promelas,Ctenopharyngodon_idella,Node36,Node34,Node32,Node26,Labeo_rohita,Node25,Node19,Node1,Chanos_chanos,Denticeps_clupeoides`	1.0000	0.85
Misgurnus_anguillicaudatus	`Electrophorus_electricus,Ictalurus_furcatus,Ictalurus_punctatus,Node9,Pangasianodon_hypophthalmus,Node8,Clarias_gariepinus,Node7,Silurus_meridionalis,Node6,Tachysurus_fulvidraco,Node5,Pygocentrus_nattereri,Colossoma_macropomum,Node16,Node4,Node2,Myxocyprinus_asiaticus,Xyrauchen_texanus,Node22,Node20,Carassius_auratus,Carassius_gibelio,Node28,Cyprinus_carpio,Node27,Danio_rerio,Pimephales_promelas,Megalobrama_amblycephala,Ctenopharyngodon_idella,Node36,Node34,Node32,Node26,Labeo_rohita,Node25,Node19,Node1,Chanos_chanos,Denticeps_clupeoides`	0.0021	0.76
