test	back	pval	kval
Alectura_lathami	`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node3,Apteryx_australis_mantelli,Apteryx_rowi,Node7,Dromaius_novaehollandiae,Node6,Node2,Anas_platyrhynchos,Aythya_fuligula,Node13,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node21,Anser_indicus,Node20,Node18,Cygnus_olor,Cygnus_atratus,Node25,Node17,Oxyura_jamaicensis,Node16,Node12,Penelope_pileata,Node29,Node11`	1.0000	0.98
Anas_platyrhynchos	`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node3,Apteryx_australis_mantelli,Apteryx_rowi,Node7,Dromaius_novaehollandiae,Node6,Node2,Aythya_fuligula,Node13,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node21,Anser_indicus,Node20,Node18,Cygnus_olor,Cygnus_atratus,Node25,Node17,Oxyura_jamaicensis,Node16,Node12,Penelope_pileata,Alectura_lathami,Node29,Node11`	0.0000	2.28
Anser_brachyrhynchus	`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node3,Apteryx_australis_mantelli,Apteryx_rowi,Node7,Dromaius_novaehollandiae,Node6,Node2,Anas_platyrhynchos,Aythya_fuligula,Node13,Branta_canadensis,Anser_cygnoides,Node21,Anser_indicus,Node20,Node18,Cygnus_olor,Cygnus_atratus,Node25,Node17,Oxyura_jamaicensis,Node16,Node12,Penelope_pileata,Alectura_lathami,Node29,Node11`	0.0520	0.00
Anser_cygnoides	`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node3,Apteryx_australis_mantelli,Apteryx_rowi,Node7,Dromaius_novaehollandiae,Node6,Node2,Anas_platyrhynchos,Aythya_fuligula,Node13,Branta_canadensis,Anser_brachyrhynchus,Node21,Anser_indicus,Node20,Node18,Cygnus_olor,Cygnus_atratus,Node25,Node17,Oxyura_jamaicensis,Node16,Node12,Penelope_pileata,Alectura_lathami,Node29,Node11`	0.3066	0.00
Anser_indicus	`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node3,Apteryx_australis_mantelli,Apteryx_rowi,Node7,Dromaius_novaehollandiae,Node6,Node2,Anas_platyrhynchos,Aythya_fuligula,Node13,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node21,Node20,Node18,Cygnus_olor,Cygnus_atratus,Node25,Node17,Oxyura_jamaicensis,Node16,Node12,Penelope_pileata,Alectura_lathami,Node29,Node11`	0.1297	0.00
Apteryx_australis_mantelli	`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node3,Apteryx_rowi,Node7,Dromaius_novaehollandiae,Node6,Node2,Anas_platyrhynchos,Aythya_fuligula,Node13,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node21,Anser_indicus,Node20,Node18,Cygnus_olor,Cygnus_atratus,Node25,Node17,Oxyura_jamaicensis,Node16,Node12,Penelope_pileata,Alectura_lathami,Node29,Node11`	0.7049	1.49
Apteryx_rowi	`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node3,Apteryx_australis_mantelli,Node7,Dromaius_novaehollandiae,Node6,Node2,Anas_platyrhynchos,Aythya_fuligula,Node13,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node21,Anser_indicus,Node20,Node18,Cygnus_olor,Cygnus_atratus,Node25,Node17,Oxyura_jamaicensis,Node16,Node12,Penelope_pileata,Alectura_lathami,Node29,Node11`	0.0000	50.00
Aythya_fuligula	`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node3,Apteryx_australis_mantelli,Apteryx_rowi,Node7,Dromaius_novaehollandiae,Node6,Node2,Anas_platyrhynchos,Node13,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node21,Anser_indicus,Node20,Node18,Cygnus_olor,Cygnus_atratus,Node25,Node17,Oxyura_jamaicensis,Node16,Node12,Penelope_pileata,Alectura_lathami,Node29,Node11`	1.0000	1.28
Branta_canadensis	`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node3,Apteryx_australis_mantelli,Apteryx_rowi,Node7,Dromaius_novaehollandiae,Node6,Node2,Anas_platyrhynchos,Aythya_fuligula,Node13,Anser_cygnoides,Anser_brachyrhynchus,Node21,Anser_indicus,Node20,Node18,Cygnus_olor,Cygnus_atratus,Node25,Node17,Oxyura_jamaicensis,Node16,Node12,Penelope_pileata,Alectura_lathami,Node29,Node11`	0.0946	0.02
Cygnus_atratus	`Struthio_camelus,Nothoprocta_perdicaria,Tinamus_guttatus,Node3,Apteryx_australis_mantelli,Apteryx_rowi,Node7,Dromaius_novaehollandiae,Node6,Node2,Anas_platyrhynchos,Aythya_fuligula,Node13,Branta_canadensis,Anser_cygnoides,Anser_brachyrhynchus,Node21,Anser_indicus,Node20,Node18,Cygnus_olor,Node25,Node17,Oxyura_jamaicensis,Node16,Node12,Penelope_pileata,Alectura_lathami,Node29,Node11`	0.0938	0.00
