test	back	pval	kval
Artibeus_jamaicensis	`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node1,Pteropus_giganteus,Pteropus_vampyrus,Node5,Rousettus_aegyptiacus,Node4,Pteronotus_parnellii_mesoamericanus,Sturnira_hondurensis,Node14,Phyllostomus_hastatus,Phyllostomus_discolor,Node17,Node13,Desmodus_rotundus,Node12,Node10,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node26,Myotis_davidii,Myotis_myotis,Node29,Node25,Pipistrellus_kuhlii,Node24,Miniopterus_natalensis,Node23,Node21,Node9`	1.0000	1.21
Desmodus_rotundus	`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node1,Pteropus_giganteus,Pteropus_vampyrus,Node5,Rousettus_aegyptiacus,Node4,Pteronotus_parnellii_mesoamericanus,Sturnira_hondurensis,Artibeus_jamaicensis,Node14,Phyllostomus_hastatus,Phyllostomus_discolor,Node17,Node13,Node12,Node10,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node26,Myotis_davidii,Myotis_myotis,Node29,Node25,Pipistrellus_kuhlii,Node24,Miniopterus_natalensis,Node23,Node21,Node9`	0.1899	0.60
Hipposideros_armiger	`Rhinolophus_ferrumequinum,Node1,Pteropus_giganteus,Pteropus_vampyrus,Node5,Rousettus_aegyptiacus,Node4,Pteronotus_parnellii_mesoamericanus,Sturnira_hondurensis,Artibeus_jamaicensis,Node14,Phyllostomus_hastatus,Phyllostomus_discolor,Node17,Node13,Desmodus_rotundus,Node12,Node10,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node26,Myotis_davidii,Myotis_myotis,Node29,Node25,Pipistrellus_kuhlii,Node24,Miniopterus_natalensis,Node23,Node21,Node9`	0.0000	32.96
Miniopterus_natalensis	`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node1,Pteropus_giganteus,Pteropus_vampyrus,Node5,Rousettus_aegyptiacus,Node4,Pteronotus_parnellii_mesoamericanus,Sturnira_hondurensis,Artibeus_jamaicensis,Node14,Phyllostomus_hastatus,Phyllostomus_discolor,Node17,Node13,Desmodus_rotundus,Node12,Node10,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node26,Myotis_davidii,Myotis_myotis,Node29,Node25,Pipistrellus_kuhlii,Node24,Node23,Node21,Node9`	1.0000	1.28
Molossus_molossus	`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node1,Pteropus_giganteus,Pteropus_vampyrus,Node5,Rousettus_aegyptiacus,Node4,Pteronotus_parnellii_mesoamericanus,Sturnira_hondurensis,Artibeus_jamaicensis,Node14,Phyllostomus_hastatus,Phyllostomus_discolor,Node17,Node13,Desmodus_rotundus,Node12,Node10,Myotis_brandtii,Myotis_lucifugus,Node26,Myotis_davidii,Myotis_myotis,Node29,Node25,Pipistrellus_kuhlii,Node24,Miniopterus_natalensis,Node23,Node21,Node9`	0.1783	0.71
Myotis_brandtii	`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node1,Pteropus_giganteus,Pteropus_vampyrus,Node5,Rousettus_aegyptiacus,Node4,Pteronotus_parnellii_mesoamericanus,Sturnira_hondurensis,Artibeus_jamaicensis,Node14,Phyllostomus_hastatus,Phyllostomus_discolor,Node17,Node13,Desmodus_rotundus,Node12,Node10,Molossus_molossus,Myotis_lucifugus,Node26,Myotis_davidii,Myotis_myotis,Node29,Node25,Pipistrellus_kuhlii,Node24,Miniopterus_natalensis,Node23,Node21,Node9`	1.0000	0.99
Myotis_davidii	`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node1,Pteropus_giganteus,Pteropus_vampyrus,Node5,Rousettus_aegyptiacus,Node4,Pteronotus_parnellii_mesoamericanus,Sturnira_hondurensis,Artibeus_jamaicensis,Node14,Phyllostomus_hastatus,Phyllostomus_discolor,Node17,Node13,Desmodus_rotundus,Node12,Node10,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node26,Myotis_myotis,Node29,Node25,Pipistrellus_kuhlii,Node24,Miniopterus_natalensis,Node23,Node21,Node9`	0.0020	50.00
Myotis_lucifugus	`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node1,Pteropus_giganteus,Pteropus_vampyrus,Node5,Rousettus_aegyptiacus,Node4,Pteronotus_parnellii_mesoamericanus,Sturnira_hondurensis,Artibeus_jamaicensis,Node14,Phyllostomus_hastatus,Phyllostomus_discolor,Node17,Node13,Desmodus_rotundus,Node12,Node10,Molossus_molossus,Myotis_brandtii,Node26,Myotis_davidii,Myotis_myotis,Node29,Node25,Pipistrellus_kuhlii,Node24,Miniopterus_natalensis,Node23,Node21,Node9`	1.0000	0.89
Myotis_myotis	`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node1,Pteropus_giganteus,Pteropus_vampyrus,Node5,Rousettus_aegyptiacus,Node4,Pteronotus_parnellii_mesoamericanus,Sturnira_hondurensis,Artibeus_jamaicensis,Node14,Phyllostomus_hastatus,Phyllostomus_discolor,Node17,Node13,Desmodus_rotundus,Node12,Node10,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node26,Myotis_davidii,Node29,Node25,Pipistrellus_kuhlii,Node24,Miniopterus_natalensis,Node23,Node21,Node9`	0.0444	0.00
Phyllostomus_discolor	`Hipposideros_armiger,Rhinolophus_ferrumequinum,Node1,Pteropus_giganteus,Pteropus_vampyrus,Node5,Rousettus_aegyptiacus,Node4,Pteronotus_parnellii_mesoamericanus,Sturnira_hondurensis,Artibeus_jamaicensis,Node14,Phyllostomus_hastatus,Node17,Node13,Desmodus_rotundus,Node12,Node10,Molossus_molossus,Myotis_brandtii,Myotis_lucifugus,Node26,Myotis_davidii,Myotis_myotis,Node29,Node25,Pipistrellus_kuhlii,Node24,Miniopterus_natalensis,Node23,Node21,Node9`	0.0609	0.00
