test	back	pval	kval
Coregonus_clupeaformis	`Esox_lucius,Oncorhynchus_mykiss,Oncorhynchus_tshawytscha,Oncorhynchus_kisutch,Node7,Oncorhynchus_keta,Oncorhynchus_gorbuscha,Node11,Oncorhynchus_nerka,Node10,Node6,Node4,Salvelinus_alpinus,Node3,Salmo_salar,Node2`	0.7585	1.09
Esox_lucius	`Oncorhynchus_mykiss,Oncorhynchus_tshawytscha,Oncorhynchus_kisutch,Node7,Oncorhynchus_keta,Oncorhynchus_gorbuscha,Node11,Oncorhynchus_nerka,Node10,Node6,Node4,Salvelinus_alpinus,Node3,Salmo_salar,Node2,Coregonus_clupeaformis`	0.5745	0.92
Oncorhynchus_gorbuscha	`Esox_lucius,Oncorhynchus_mykiss,Oncorhynchus_tshawytscha,Oncorhynchus_kisutch,Node7,Oncorhynchus_keta,Node11,Oncorhynchus_nerka,Node10,Node6,Node4,Salvelinus_alpinus,Node3,Salmo_salar,Node2,Coregonus_clupeaformis`	0.1233	1.70
Oncorhynchus_keta	`Esox_lucius,Oncorhynchus_mykiss,Oncorhynchus_tshawytscha,Oncorhynchus_kisutch,Node7,Oncorhynchus_gorbuscha,Node11,Oncorhynchus_nerka,Node10,Node6,Node4,Salvelinus_alpinus,Node3,Salmo_salar,Node2,Coregonus_clupeaformis`	0.8819	0.87
Oncorhynchus_kisutch	`Esox_lucius,Oncorhynchus_mykiss,Oncorhynchus_tshawytscha,Node7,Oncorhynchus_keta,Oncorhynchus_gorbuscha,Node11,Oncorhynchus_nerka,Node10,Node6,Node4,Salvelinus_alpinus,Node3,Salmo_salar,Node2,Coregonus_clupeaformis`	1.0000	0.89
Oncorhynchus_mykiss	`Esox_lucius,Oncorhynchus_tshawytscha,Oncorhynchus_kisutch,Node7,Oncorhynchus_keta,Oncorhynchus_gorbuscha,Node11,Oncorhynchus_nerka,Node10,Node6,Node4,Salvelinus_alpinus,Node3,Salmo_salar,Node2,Coregonus_clupeaformis`	0.5833	0.75
Oncorhynchus_nerka	`Esox_lucius,Oncorhynchus_mykiss,Oncorhynchus_tshawytscha,Oncorhynchus_kisutch,Node7,Oncorhynchus_keta,Oncorhynchus_gorbuscha,Node11,Node10,Node6,Node4,Salvelinus_alpinus,Node3,Salmo_salar,Node2,Coregonus_clupeaformis`	1.0000	1.09
Oncorhynchus_tshawytscha	`Esox_lucius,Oncorhynchus_mykiss,Oncorhynchus_kisutch,Node7,Oncorhynchus_keta,Oncorhynchus_gorbuscha,Node11,Oncorhynchus_nerka,Node10,Node6,Node4,Salvelinus_alpinus,Node3,Salmo_salar,Node2,Coregonus_clupeaformis`	0.1934	1.79
Salmo_salar	`Esox_lucius,Oncorhynchus_mykiss,Oncorhynchus_tshawytscha,Oncorhynchus_kisutch,Node7,Oncorhynchus_keta,Oncorhynchus_gorbuscha,Node11,Oncorhynchus_nerka,Node10,Node6,Node4,Salvelinus_alpinus,Node3,Node2,Coregonus_clupeaformis`	0.7372	0.91
Salvelinus_alpinus	`Esox_lucius,Oncorhynchus_mykiss,Oncorhynchus_tshawytscha,Oncorhynchus_kisutch,Node7,Oncorhynchus_keta,Oncorhynchus_gorbuscha,Node11,Oncorhynchus_nerka,Node10,Node6,Node4,Node3,Salmo_salar,Node2,Coregonus_clupeaformis`	0.9789	1.02
