Codon	Partition	alpha	beta_plus	p_plus	LRT	pValue	Species
8	1	0.000	10000.000...	1.000	6.093	0.0215	Suricata_suricatta
20	1	0.000	10000.000...	1.000	34.698	0.0000	Suricata_suricatta
199	1	0.000	10000.000...	1.000	34.698	0.0000	Suricata_suricatta
28	1	2.453	10000.000...	1.000	16.079	0.0001	Suricata_suricatta
29	1	1.444	10000.000...	1.000	5.264	0.0329	Suricata_suricatta
42	1	0.955	10000.000...	1.000	4.206	0.0568	Suricata_suricatta
46	1	0.782	10000.000...	1.000	3.509	0.0817	Suricata_suricatta
68	1	1.028	10000.000...	1.000	17.303	0.0001	Suricata_suricatta
77	1	1.466	10000.000...	1.000	3.313	0.0906	Suricata_suricatta
79	1	2.504	10000.000...	1.000	4.432	0.0506	Suricata_suricatta
95	1	0.000	10000.000...	1.000	3.535	0.0807	Suricata_suricatta
106	1	0.000	10000.000...	1.000	8.683	0.0057	Suricata_suricatta
111	1	1.826	10000.000...	1.000	16.488	0.0001	Suricata_suricatta
119	1	0.000	10000.000...	1.000	4.084	0.0606	Suricata_suricatta
123	1	0.000	10000.000...	1.000	7.340	0.0114	Suricata_suricatta
134	1	0.000	10000.000...	1.000	7.340	0.0114	Suricata_suricatta
128	1	3.516	10000.000...	1.000	3.778	0.0710	Suricata_suricatta
129	1	1.027	10000.000...	1.000	17.279	0.0001	Suricata_suricatta
157	1	0.944	10000.000...	1.000	17.444	0.0001	Suricata_suricatta
180	1	0.000	10000.000...	1.000	37.324	0.0000	Suricata_suricatta
218	1	2.914	10000.000...	1.000	4.441	0.0503	Suricata_suricatta
235	1	0.954	10000.000...	1.000	17.556	0.0001	Suricata_suricatta
258	1	3.347	10000.000...	1.000	4.306	0.0540	Suricata_suricatta
270	1	0.844	10000.000...	1.000	3.461	0.0838	Suricata_suricatta
272	1	0.000	10000.000...	1.000	6.818	0.0148	Suricata_suricatta
333	1	0.000	10000.000...	1.000	60.280	0.0000	Suricata_suricatta
341	1	0.000	10000.000...	1.000	3.847	0.0685	Suricata_suricatta
342	1	0.000	10000.000...	1.000	7.211	0.0121	Suricata_suricatta
365	1	2.484	10000.000...	1.000	4.141	0.0588	Suricata_suricatta
368	1	0.000	10000.000...	1.000	7.520	0.0104	Suricata_suricatta
372	1	0.000	10000.000...	1.000	7.394	0.0111	Suricata_suricatta
394	1	0.955	10000.000...	1.000	3.806	0.0700	Suricata_suricatta
415	1	3.602	10000.000...	1.000	15.372	0.0002	Suricata_suricatta
434	1	0.000	10000.000...	1.000	5.721	0.0260	Suricata_suricatta
512	1	0.000	10000.000...	1.000	5.412	0.0305	Suricata_suricatta
546	1	5.806	10000.000...	1.000	14.246	0.0003	Suricata_suricatta
573	1	3.473	10000.000...	1.000	15.316	0.0002	Suricata_suricatta
587	1	0.000	10000.000...	1.000	8.904	0.0051	Suricata_suricatta
599	1	0.000	10000.000...	1.000	6.991	0.0136	Suricata_suricatta
607	1	0.000	10000.000...	1.000	4.678	0.0445	Suricata_suricatta
632	1	2.859	10000.000...	1.000	7.215	0.0121	Suricata_suricatta
637	1	2.129	10000.000...	1.000	16.117	0.0001	Suricata_suricatta
645	1	1.989	10000.000...	1.000	3.394	0.0868	Suricata_suricatta
661	1	0.000	10000.000...	1.000	5.975	0.0228	Suricata_suricatta
668	1	2.712	10000.000...	1.000	4.380	0.0519	Suricata_suricatta
676	1	0.741	10000.000...	1.000	4.243	0.0558	Suricata_suricatta
685	1	1.623	10000.000...	1.000	16.701	0.0001	Suricata_suricatta
687	1	0.000	10000.000...	1.000	4.059	0.0614	Suricata_suricatta
689	1	4.705	10000.000...	1.000	7.808	0.0090	Suricata_suricatta
