Codon	Partition	alpha	beta_plus	p_plus	LRT	pValue	Species
30	1	0.000	10000.000...	1.000	9.927	0.0031	Scyliorhinus_canicula
38	1	0.000	10000.000...	1.000	11.954	0.0011	Scyliorhinus_canicula
105	1	0.470	10000.000...	1.000	9.155	0.0045	Scyliorhinus_canicula
107	1	6.490	10000.000...	1.000	6.998	0.0135	Scyliorhinus_canicula
110	1	2.055	10000.000...	1.000	4.552	0.0475	Scyliorhinus_canicula
117	1	1.186	10000.000...	1.000	7.773	0.0091	Scyliorhinus_canicula
138	1	0.000	10000.000...	1.000	5.467	0.0296	Scyliorhinus_canicula
164	1	0.544	10000.000...	1.000	8.862	0.0052	Scyliorhinus_canicula
172	1	1.236	10000.000...	1.000	9.660	0.0035	Scyliorhinus_canicula
200	1	0.923	10000.000...	1.000	6.684	0.0159	Scyliorhinus_canicula
216	1	0.000	10000.000...	1.000	10.363	0.0024	Scyliorhinus_canicula
237	1	2.165	10000.000...	1.000	5.406	0.0306	Scyliorhinus_canicula
266	1	0.000	10000.000...	1.000	3.163	0.0980	Scyliorhinus_canicula
277	1	0.000	10000.000...	1.000	8.264	0.0071	Scyliorhinus_canicula
282	1	0.566	10000.000...	1.000	4.552	0.0475	Scyliorhinus_canicula
286	1	0.687	10000.000...	1.000	17.975	0.0001	Scyliorhinus_canicula
344	1	0.668	10000.000...	1.000	5.120	0.0354	Scyliorhinus_canicula
352	1	0.000	10000.000...	1.000	9.737	0.0034	Scyliorhinus_canicula
373	1	0.627	10000.000...	1.000	18.194	0.0000	Scyliorhinus_canicula
380	1	0.000	10000.000...	1.000	10.086	0.0028	Scyliorhinus_canicula
383	1	0.000	10000.000...	1.000	3.388	0.0871	Scyliorhinus_canicula
394	1	6.308	10000.000...	1.000	5.841	0.0245	Scyliorhinus_canicula
494	1	0.000	10000.000...	1.000	10.659	0.0021	Scyliorhinus_canicula
497	1	0.992	10000.000...	1.000	3.667	0.0753	Scyliorhinus_canicula
524	1	0.000	10000.000...	1.000	10.723	0.0020	Scyliorhinus_canicula
533	1	3.251	10000.000...	1.000	3.714	0.0734	Scyliorhinus_canicula
536	1	1.249	10000.000...	1.000	4.309	0.0539	Scyliorhinus_canicula
559	1	0.709	10000.000...	1.000	17.853	0.0001	Scyliorhinus_canicula
568	1	0.715	10000.000...	1.000	17.774	0.0001	Scyliorhinus_canicula
573	1	0.000	10000.000...	1.000	4.158	0.0583	Scyliorhinus_canicula
586	1	0.469	10000.000...	1.000	18.769	0.0000	Scyliorhinus_canicula
589	1	0.000	10000.000...	1.000	5.373	0.0311	Scyliorhinus_canicula
600	1	0.000	10000.000...	1.000	5.763	0.0255	Scyliorhinus_canicula
602	1	0.000	10000.000...	1.000	6.282	0.0195	Scyliorhinus_canicula
626	1	1.425	10000.000...	1.000	6.807	0.0149	Scyliorhinus_canicula
639	1	0.000	10000.000...	1.000	8.081	0.0078	Scyliorhinus_canicula
677	1	1.889	10000.000...	1.000	4.192	0.0573	Scyliorhinus_canicula
