test	back	pval	kval
Aptenodytes_forsteri	`Chaetura_pelagica,Apus_apus,Nipponia_nippon,Egretta_garzetta,Node9,Pygoscelis_adeliae,Node12,Node8,Eurypyga_helias,Node7,Grus_americana,Node6,Rissa_tridactyla,Charadrius_vociferus,Node17,Node5,Mesitornis_unicolor,Columba_livia,Node20,Node4,Opisthocomus_hoazin,Node3`	0.0151	1.61
Apus_apus	`Chaetura_pelagica,Nipponia_nippon,Egretta_garzetta,Node9,Pygoscelis_adeliae,Aptenodytes_forsteri,Node12,Node8,Eurypyga_helias,Node7,Grus_americana,Node6,Rissa_tridactyla,Charadrius_vociferus,Node17,Node5,Mesitornis_unicolor,Columba_livia,Node20,Node4,Opisthocomus_hoazin,Node3`	0.1668	0.63
Chaetura_pelagica	`Apus_apus,Nipponia_nippon,Egretta_garzetta,Node9,Pygoscelis_adeliae,Aptenodytes_forsteri,Node12,Node8,Eurypyga_helias,Node7,Grus_americana,Node6,Rissa_tridactyla,Charadrius_vociferus,Node17,Node5,Mesitornis_unicolor,Columba_livia,Node20,Node4,Opisthocomus_hoazin,Node3`	0.5987	0.89
Charadrius_vociferus	`Chaetura_pelagica,Apus_apus,Nipponia_nippon,Egretta_garzetta,Node9,Pygoscelis_adeliae,Aptenodytes_forsteri,Node12,Node8,Eurypyga_helias,Node7,Grus_americana,Node6,Rissa_tridactyla,Node17,Node5,Mesitornis_unicolor,Columba_livia,Node20,Node4,Opisthocomus_hoazin,Node3`	0.0318	30.55
Columba_livia	`Chaetura_pelagica,Apus_apus,Nipponia_nippon,Egretta_garzetta,Node9,Pygoscelis_adeliae,Aptenodytes_forsteri,Node12,Node8,Eurypyga_helias,Node7,Grus_americana,Node6,Rissa_tridactyla,Charadrius_vociferus,Node17,Node5,Mesitornis_unicolor,Node20,Node4,Opisthocomus_hoazin,Node3`	0.6418	0.90
Egretta_garzetta	`Chaetura_pelagica,Apus_apus,Nipponia_nippon,Node9,Pygoscelis_adeliae,Aptenodytes_forsteri,Node12,Node8,Eurypyga_helias,Node7,Grus_americana,Node6,Rissa_tridactyla,Charadrius_vociferus,Node17,Node5,Mesitornis_unicolor,Columba_livia,Node20,Node4,Opisthocomus_hoazin,Node3`	0.4331	1.62
Eurypyga_helias	`Chaetura_pelagica,Apus_apus,Nipponia_nippon,Egretta_garzetta,Node9,Pygoscelis_adeliae,Aptenodytes_forsteri,Node12,Node8,Node7,Grus_americana,Node6,Rissa_tridactyla,Charadrius_vociferus,Node17,Node5,Mesitornis_unicolor,Columba_livia,Node20,Node4,Opisthocomus_hoazin,Node3`	0.5220	1.15
Grus_americana	`Chaetura_pelagica,Apus_apus,Nipponia_nippon,Egretta_garzetta,Node9,Pygoscelis_adeliae,Aptenodytes_forsteri,Node12,Node8,Eurypyga_helias,Node7,Node6,Rissa_tridactyla,Charadrius_vociferus,Node17,Node5,Mesitornis_unicolor,Columba_livia,Node20,Node4,Opisthocomus_hoazin,Node3`	0.0009	0.43
Mesitornis_unicolor	`Chaetura_pelagica,Apus_apus,Nipponia_nippon,Egretta_garzetta,Node9,Pygoscelis_adeliae,Aptenodytes_forsteri,Node12,Node8,Eurypyga_helias,Node7,Grus_americana,Node6,Rissa_tridactyla,Charadrius_vociferus,Node17,Node5,Columba_livia,Node20,Node4,Opisthocomus_hoazin,Node3`	0.3991	1.24
Nipponia_nippon	`Chaetura_pelagica,Apus_apus,Egretta_garzetta,Node9,Pygoscelis_adeliae,Aptenodytes_forsteri,Node12,Node8,Eurypyga_helias,Node7,Grus_americana,Node6,Rissa_tridactyla,Charadrius_vociferus,Node17,Node5,Mesitornis_unicolor,Columba_livia,Node20,Node4,Opisthocomus_hoazin,Node3`	0.0278	50.00
Opisthocomus_hoazin	`Chaetura_pelagica,Apus_apus,Nipponia_nippon,Egretta_garzetta,Node9,Pygoscelis_adeliae,Aptenodytes_forsteri,Node12,Node8,Eurypyga_helias,Node7,Grus_americana,Node6,Rissa_tridactyla,Charadrius_vociferus,Node17,Node5,Mesitornis_unicolor,Columba_livia,Node20,Node4,Node3`	0.0144	0.62
Pygoscelis_adeliae	`Chaetura_pelagica,Apus_apus,Nipponia_nippon,Egretta_garzetta,Node9,Aptenodytes_forsteri,Node12,Node8,Eurypyga_helias,Node7,Grus_americana,Node6,Rissa_tridactyla,Charadrius_vociferus,Node17,Node5,Mesitornis_unicolor,Columba_livia,Node20,Node4,Opisthocomus_hoazin,Node3`	0.0378	1.74
Rissa_tridactyla	`Chaetura_pelagica,Apus_apus,Nipponia_nippon,Egretta_garzetta,Node9,Pygoscelis_adeliae,Aptenodytes_forsteri,Node12,Node8,Eurypyga_helias,Node7,Grus_americana,Node6,Charadrius_vociferus,Node17,Node5,Mesitornis_unicolor,Columba_livia,Node20,Node4,Opisthocomus_hoazin,Node3`	0.0021	0.48
