test	back	pval	kval
Caretta_caretta	`Pelodiscus_sinensis,Malaclemys_terrapin_pileata,Trachemys_scripta_elegans,Node5,Chrysemys_picta_bellii,Node4,Terrapene_carolina_triunguis,Node3,Mauremys_mutica,Mauremys_reevesii,Node11,Gopherus_flavomarginatus,Chelonoidis_abingdonii,Node14,Node10,Node2,Chelonia_mydas,Node18,Dermochelys_coriacea,Node17`	0.0469	1.81
Chelonia_mydas	`Pelodiscus_sinensis,Malaclemys_terrapin_pileata,Trachemys_scripta_elegans,Node5,Chrysemys_picta_bellii,Node4,Terrapene_carolina_triunguis,Node3,Mauremys_mutica,Mauremys_reevesii,Node11,Gopherus_flavomarginatus,Chelonoidis_abingdonii,Node14,Node10,Node2,Caretta_caretta,Node18,Dermochelys_coriacea,Node17`	0.3737	0.66
Chelonoidis_abingdonii	`Pelodiscus_sinensis,Malaclemys_terrapin_pileata,Trachemys_scripta_elegans,Node5,Chrysemys_picta_bellii,Node4,Terrapene_carolina_triunguis,Node3,Mauremys_mutica,Mauremys_reevesii,Node11,Gopherus_flavomarginatus,Node14,Node10,Node2,Caretta_caretta,Chelonia_mydas,Node18,Dermochelys_coriacea,Node17`	0.1288	0.73
Chrysemys_picta_bellii	`Pelodiscus_sinensis,Malaclemys_terrapin_pileata,Trachemys_scripta_elegans,Node5,Node4,Terrapene_carolina_triunguis,Node3,Mauremys_mutica,Mauremys_reevesii,Node11,Gopherus_flavomarginatus,Chelonoidis_abingdonii,Node14,Node10,Node2,Caretta_caretta,Chelonia_mydas,Node18,Dermochelys_coriacea,Node17`	0.0319	1.62
Dermochelys_coriacea	`Pelodiscus_sinensis,Malaclemys_terrapin_pileata,Trachemys_scripta_elegans,Node5,Chrysemys_picta_bellii,Node4,Terrapene_carolina_triunguis,Node3,Mauremys_mutica,Mauremys_reevesii,Node11,Gopherus_flavomarginatus,Chelonoidis_abingdonii,Node14,Node10,Node2,Caretta_caretta,Chelonia_mydas,Node18,Node17`	1.0000	1.00
Gopherus_flavomarginatus	`Pelodiscus_sinensis,Malaclemys_terrapin_pileata,Trachemys_scripta_elegans,Node5,Chrysemys_picta_bellii,Node4,Terrapene_carolina_triunguis,Node3,Mauremys_mutica,Mauremys_reevesii,Node11,Chelonoidis_abingdonii,Node14,Node10,Node2,Caretta_caretta,Chelonia_mydas,Node18,Dermochelys_coriacea,Node17`	0.1434	0.63
Malaclemys_terrapin_pileata	`Pelodiscus_sinensis,Trachemys_scripta_elegans,Node5,Chrysemys_picta_bellii,Node4,Terrapene_carolina_triunguis,Node3,Mauremys_mutica,Mauremys_reevesii,Node11,Gopherus_flavomarginatus,Chelonoidis_abingdonii,Node14,Node10,Node2,Caretta_caretta,Chelonia_mydas,Node18,Dermochelys_coriacea,Node17`	0.4141	0.70
Mauremys_mutica	`Pelodiscus_sinensis,Malaclemys_terrapin_pileata,Trachemys_scripta_elegans,Node5,Chrysemys_picta_bellii,Node4,Terrapene_carolina_triunguis,Node3,Mauremys_reevesii,Node11,Gopherus_flavomarginatus,Chelonoidis_abingdonii,Node14,Node10,Node2,Caretta_caretta,Chelonia_mydas,Node18,Dermochelys_coriacea,Node17`	0.0599	0.24
Mauremys_reevesii	`Pelodiscus_sinensis,Malaclemys_terrapin_pileata,Trachemys_scripta_elegans,Node5,Chrysemys_picta_bellii,Node4,Terrapene_carolina_triunguis,Node3,Mauremys_mutica,Node11,Gopherus_flavomarginatus,Chelonoidis_abingdonii,Node14,Node10,Node2,Caretta_caretta,Chelonia_mydas,Node18,Dermochelys_coriacea,Node17`	1.0000	0.74
Pelodiscus_sinensis	`Malaclemys_terrapin_pileata,Trachemys_scripta_elegans,Node5,Chrysemys_picta_bellii,Node4,Terrapene_carolina_triunguis,Node3,Mauremys_mutica,Mauremys_reevesii,Node11,Gopherus_flavomarginatus,Chelonoidis_abingdonii,Node14,Node10,Node2,Caretta_caretta,Chelonia_mydas,Node18,Dermochelys_coriacea,Node17`	1.0000	0.15
Terrapene_carolina_triunguis	`Pelodiscus_sinensis,Malaclemys_terrapin_pileata,Trachemys_scripta_elegans,Node5,Chrysemys_picta_bellii,Node4,Node3,Mauremys_mutica,Mauremys_reevesii,Node11,Gopherus_flavomarginatus,Chelonoidis_abingdonii,Node14,Node10,Node2,Caretta_caretta,Chelonia_mydas,Node18,Dermochelys_coriacea,Node17`	0.2663	0.67
Trachemys_scripta_elegans	`Pelodiscus_sinensis,Malaclemys_terrapin_pileata,Node5,Chrysemys_picta_bellii,Node4,Terrapene_carolina_triunguis,Node3,Mauremys_mutica,Mauremys_reevesii,Node11,Gopherus_flavomarginatus,Chelonoidis_abingdonii,Node14,Node10,Node2,Caretta_caretta,Chelonia_mydas,Node18,Dermochelys_coriacea,Node17`	0.5174	1.49
