test	back	pval	kval
Boleophthalmus_pectinirostris	`Periophthalmus_magnuspinnatus,Node4,Sphaeramia_orbicularis,Node3,Scomber_japonicus,Thunnus_albacares,Thunnus_maccoyii,Node11,Node9,Synchiropus_splendidus,Syngnathus_acus,Hippocampus_comes,Hippocampus_zosterae,Node19,Node17,Dunckerocampus_dactyliophorus,Node16,Node14,Node8,Node2,Thalassophryne_amazonica,Node1,Myripristis_murdjan,Hypomesus_transpacificus`	0.7820	1.05
Dunckerocampus_dactyliophorus	`Boleophthalmus_pectinirostris,Periophthalmus_magnuspinnatus,Node4,Sphaeramia_orbicularis,Node3,Scomber_japonicus,Thunnus_albacares,Thunnus_maccoyii,Node11,Node9,Synchiropus_splendidus,Syngnathus_acus,Hippocampus_comes,Hippocampus_zosterae,Node19,Node17,Node16,Node14,Node8,Node2,Thalassophryne_amazonica,Node1,Myripristis_murdjan,Hypomesus_transpacificus`	0.2825	1.15
Hippocampus_comes	`Boleophthalmus_pectinirostris,Periophthalmus_magnuspinnatus,Node4,Sphaeramia_orbicularis,Node3,Scomber_japonicus,Thunnus_albacares,Thunnus_maccoyii,Node11,Node9,Synchiropus_splendidus,Syngnathus_acus,Hippocampus_zosterae,Node19,Node17,Dunckerocampus_dactyliophorus,Node16,Node14,Node8,Node2,Thalassophryne_amazonica,Node1,Myripristis_murdjan,Hypomesus_transpacificus`	0.4895	1.14
Hippocampus_zosterae	`Boleophthalmus_pectinirostris,Periophthalmus_magnuspinnatus,Node4,Sphaeramia_orbicularis,Node3,Scomber_japonicus,Thunnus_albacares,Thunnus_maccoyii,Node11,Node9,Synchiropus_splendidus,Syngnathus_acus,Hippocampus_comes,Node19,Node17,Dunckerocampus_dactyliophorus,Node16,Node14,Node8,Node2,Thalassophryne_amazonica,Node1,Myripristis_murdjan,Hypomesus_transpacificus`	0.7687	0.92
Hypomesus_transpacificus	`Boleophthalmus_pectinirostris,Periophthalmus_magnuspinnatus,Node4,Sphaeramia_orbicularis,Node3,Scomber_japonicus,Thunnus_albacares,Thunnus_maccoyii,Node11,Node9,Synchiropus_splendidus,Syngnathus_acus,Hippocampus_comes,Hippocampus_zosterae,Node19,Node17,Dunckerocampus_dactyliophorus,Node16,Node14,Node8,Node2,Thalassophryne_amazonica,Node1,Myripristis_murdjan`	0.0236	1.19
Myripristis_murdjan	`Boleophthalmus_pectinirostris,Periophthalmus_magnuspinnatus,Node4,Sphaeramia_orbicularis,Node3,Scomber_japonicus,Thunnus_albacares,Thunnus_maccoyii,Node11,Node9,Synchiropus_splendidus,Syngnathus_acus,Hippocampus_comes,Hippocampus_zosterae,Node19,Node17,Dunckerocampus_dactyliophorus,Node16,Node14,Node8,Node2,Thalassophryne_amazonica,Node1,Hypomesus_transpacificus`	0.3884	0.89
Periophthalmus_magnuspinnatus	`Boleophthalmus_pectinirostris,Node4,Sphaeramia_orbicularis,Node3,Scomber_japonicus,Thunnus_albacares,Thunnus_maccoyii,Node11,Node9,Synchiropus_splendidus,Syngnathus_acus,Hippocampus_comes,Hippocampus_zosterae,Node19,Node17,Dunckerocampus_dactyliophorus,Node16,Node14,Node8,Node2,Thalassophryne_amazonica,Node1,Myripristis_murdjan,Hypomesus_transpacificus`	0.1920	0.76
Scomber_japonicus	`Boleophthalmus_pectinirostris,Periophthalmus_magnuspinnatus,Node4,Sphaeramia_orbicularis,Node3,Thunnus_albacares,Thunnus_maccoyii,Node11,Node9,Synchiropus_splendidus,Syngnathus_acus,Hippocampus_comes,Hippocampus_zosterae,Node19,Node17,Dunckerocampus_dactyliophorus,Node16,Node14,Node8,Node2,Thalassophryne_amazonica,Node1,Myripristis_murdjan,Hypomesus_transpacificus`	0.1265	0.79
Sphaeramia_orbicularis	`Boleophthalmus_pectinirostris,Periophthalmus_magnuspinnatus,Node4,Node3,Scomber_japonicus,Thunnus_albacares,Thunnus_maccoyii,Node11,Node9,Synchiropus_splendidus,Syngnathus_acus,Hippocampus_comes,Hippocampus_zosterae,Node19,Node17,Dunckerocampus_dactyliophorus,Node16,Node14,Node8,Node2,Thalassophryne_amazonica,Node1,Myripristis_murdjan,Hypomesus_transpacificus`	1.0000	0.99
Synchiropus_splendidus	`Boleophthalmus_pectinirostris,Periophthalmus_magnuspinnatus,Node4,Sphaeramia_orbicularis,Node3,Scomber_japonicus,Thunnus_albacares,Thunnus_maccoyii,Node11,Node9,Syngnathus_acus,Hippocampus_comes,Hippocampus_zosterae,Node19,Node17,Dunckerocampus_dactyliophorus,Node16,Node14,Node8,Node2,Thalassophryne_amazonica,Node1,Myripristis_murdjan,Hypomesus_transpacificus`	0.0017	0.79
